FID_10,maj10,majper10,maj50,majper50,maj100,majper100,majit,majperit,IT_code_ITs,distance,size_km2,group,defit,def10,def50,def100
34.0000000,100.0000000,69.0996000,100.0000000,76.1975000,100.0000000,78.0857000,100.0000000,88.6506000,3633.0000000,0.0000000,3080.7600098,674.0000000,11.3493996,30.9004002,23.8024998,21.9143009
36.0000000,100.0000000,66.8068000,100.0000000,60.6184000,100.0000000,73.4727000,100.0000000,89.9640000,3594.0000000,15.0000000,1147.3100586,36.0000000,10.0360003,33.1931992,39.3815994,26.5272999
40.0000000,100.0000000,54.8341000,100.0000000,47.8528000,100.0000000,49.0090000,100.0000000,50.4411000,4174.0000000,2.0000000,278.5000000,685.0000000,49.5588989,45.1659012,52.1472015,50.9910011
42.0000000,100.0000000,43.3343000,100.0000000,29.2742000,0.0000000,30.8950000,100.0000000,75.4899000,3920.0000000,48.0000000,4196.2998047,680.0000000,24.5100994,56.6656990,70.7257996,69.1050034
43.0000000,100.0000000,74.1474000,100.0000000,72.8779000,100.0000000,74.1750000,100.0000000,96.5386000,3857.0000000,52.0000000,1473.2900391,43.0000000,3.4614000,25.8526001,27.1221008,25.8250008
44.0000000,100.0000000,96.7560000,100.0000000,90.6215000,100.0000000,87.6996000,100.0000000,97.9284000,3916.0000000,0.0000000,257.5299988,650.0000000,2.0716000,3.2440000,9.3785000,12.3003998
45.0000000,100.0000000,61.7685000,100.0000000,50.9768000,0.0000000,54.1202000,100.0000000,99.2843000,3923.0000000,20.0000000,791.2899780,758.0000000,0.7157000,38.2314987,49.0232010,45.8797989
47.0000000,100.0000000,71.9796000,100.0000000,72.7246000,100.0000000,73.7956000,100.0000000,83.7414000,4546.0000000,48.0000000,304.9700012,685.0000000,16.2586002,28.0203991,27.2754002,26.2043991
48.0000000,100.0000000,52.6193000,75.0000000,48.2464000,100.0000000,49.4199000,100.0000000,95.1566000,3705.0000000,18.0000000,1533.5300293,48.0000000,4.8434000,47.3806992,48.2463989,50.5801010
50.0000000,100.0000000,91.9228000,100.0000000,80.5182000,100.0000000,56.1834000,100.0000000,93.9041000,5097.0000000,28.0000000,1298.2800293,693.0000000,6.0959001,8.0771999,19.4818001,43.8166008
53.0000000,100.0000000,92.1466000,100.0000000,77.3446000,100.0000000,71.6359000,100.0000000,97.1095000,5360.0000000,7.0000000,438.8299866,694.0000000,2.8905001,7.8534002,22.6553993,28.3640995
54.0000000,100.0000000,59.6635000,100.0000000,62.0477000,100.0000000,62.3790000,100.0000000,72.0227000,4809.0000000,81.0000000,12067.8095703,658.0000000,27.9773006,40.3364983,37.9523010,37.6209984
56.0000000,100.0000000,97.5109000,100.0000000,94.7998000,100.0000000,86.7864000,100.0000000,99.5469000,3598.0000000,16.0000000,874.7199707,56.0000000,0.4531000,2.4891000,5.2002001,13.2136002
58.0000000,100.0000000,74.8841000,100.0000000,65.9593000,100.0000000,71.2459000,100.0000000,92.2783000,3589.0000000,40.0000000,977.6099854,746.0000000,7.7217002,25.1159000,34.0406990,28.7541008
